outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Discretionary,Defense Discretionary,2012-03-01,March 2012 Baseline,True,2018,7,657.7,622.7,-1.1,656.6,34.0,5.5
Discretionary,Defense Discretionary,2012-03-01,March 2012 Baseline,True,2019,8,678.0,676.4,17.1,695.2,18.8,2.8
Discretionary,Defense Discretionary,2012-03-01,March 2012 Baseline,True,2020,9,694.1,713.8,34.7,728.8,15.0,2.1
Discretionary,Defense Discretionary,2012-03-01,March 2012 Baseline,True,2021,10,710.6,741.6,38.2,748.8,7.2,1.0
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2013,1,628.9,625.8,0.0,628.9,3.2,0.5
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2014,2,596.1,596.4,13.7,609.8,13.4,2.2
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2015,3,595.7,583.4,-0.1,595.6,12.2,2.1
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2016,4,608.3,584.8,-12.8,595.4,10.6,1.8
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2017,5,615.1,590.2,-10.9,604.2,14.0,2.4
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2018,6,623.0,622.7,29.2,652.3,29.6,4.7
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2019,7,642.7,676.4,48.1,690.8,14.4,2.1
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2020,8,658.0,713.8,66.3,724.3,10.5,1.5
Discretionary,Defense Discretionary,2013-05-01,CBO May 2013 Baseline,True,2021,9,673.7,741.6,70.5,744.2,2.6,0.4
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2014,1,595.8,596.4,0.1,596.0,-0.5,-0.1
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2015,2,598.7,583.4,-11.7,587.0,3.6,0.6
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2016,3,608.6,584.8,-17.6,590.9,6.1,1.0
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2017,4,615.1,590.2,-13.3,601.8,11.6,2.0
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2018,5,622.9,622.7,27.3,650.1,27.4,4.4
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2019,6,641.2,676.4,47.3,688.5,12.2,1.8
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2020,7,655.9,713.8,65.8,721.7,7.9,1.1
Discretionary,Defense Discretionary,2014-04-01,April 2014 Baseline,True,2021,8,671.5,741.6,70.0,741.5,-0.1,-0.0
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2015,1,582.6,583.4,0.0,582.6,-0.8,-0.1
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2016,2,586.9,584.8,1.6,588.6,3.7,0.6
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2017,3,592.3,590.2,8.2,600.5,10.3,1.8
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2018,4,599.1,622.7,49.5,648.5,25.8,4.2
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2019,5,616.1,676.4,70.3,686.4,10.0,1.5
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2020,6,630.6,713.8,89.4,720.0,6.2,0.9
Discretionary,Defense Discretionary,2015-03-01,March 2015 Baseline,True,2021,7,645.5,741.6,94.0,739.5,-2.1,-0.3
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2016,1,587.6,584.8,0.0,587.6,2.7,0.5
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2017,2,591.8,590.2,7.6,599.4,9.2,1.6
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2018,3,593.1,622.7,54.0,647.1,24.4,3.9
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2019,4,609.1,676.4,75.2,684.2,7.9,1.2
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2020,5,623.3,713.8,93.6,717.0,3.1,0.4
Discretionary,Defense Discretionary,2016-03-01,March 2016 baseline,True,2021,6,637.6,741.6,98.5,736.1,-5.5,-0.7
Discretionary,Defense Discretionary,2017-06-01,June 2017 Baseline,True,2017,1,588.6,590.2,0.0,588.6,-1.6,-0.3
Discretionary,Defense Discretionary,2017-06-01,June 2017 Baseline,True,2018,2,602.7,622.7,39.7,642.4,19.7,3.2
Discretionary,Defense Discretionary,2017-06-01,June 2017 Baseline,True,2019,3,625.8,676.4,56.3,682.1,5.8,0.9
Discretionary,Defense Discretionary,2017-06-01,June 2017 Baseline,True,2020,4,643.2,713.8,71.8,714.9,1.1,0.2
Discretionary,Defense Discretionary,2017-06-01,June 2017 Baseline,True,2021,5,659.4,741.6,75.1,734.5,-7.1,-1.0
Discretionary,Defense Discretionary,2018-04-01,"April 2018 Baseline, adjusted",True,2018,1,617.8,622.7,0.0,617.8,-4.9,-0.8
Discretionary,Defense Discretionary,2018-04-01,"April 2018 Baseline, adjusted",True,2019,2,663.5,676.4,-0.1,663.4,-13.0,-1.9
Discretionary,Defense Discretionary,2018-04-01,"April 2018 Baseline, adjusted",True,2020,3,647.1,713.8,58.8,705.9,-7.9,-1.1
Discretionary,Defense Discretionary,2018-04-01,"April 2018 Baseline, adjusted",True,2021,4,654.3,741.6,77.3,731.5,-10.1,-1.4
Discretionary,Defense Discretionary,2019-05-01,May 2019 Baseline,True,2019,1,666.0,676.4,0.6,666.6,-9.7,-1.4
Discretionary,Defense Discretionary,2019-05-01,May 2019 Baseline,True,2020,2,648.4,713.8,61.4,709.8,-4.0,-0.6
Discretionary,Defense Discretionary,2019-05-01,May 2019 Baseline,True,2021,3,652.3,741.6,81.3,733.6,-8.0,-1.1
Discretionary,Defense Discretionary,2020-03-01,March 2020 Baseline,True,2020,1,710.4,713.8,3.3,713.7,-0.1,-0.0
Discretionary,Defense Discretionary,2020-03-01,March 2020 Baseline,True,2021,2,729.8,741.6,6.4,736.2,-5.4,-0.7
Discretionary,Defense Discretionary,2021-07-01,2021 July Baseline,True,2021,1,739.0,741.6,0.0,739.0,-2.7,-0.4
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,1998,1,288.4,281.7,1.6,289.9,8.2,2.9
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,1999,2,294.5,296.6,12.7,307.2,10.6,3.6
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2000,3,280.7,319.7,55.2,335.9,16.2,5.1
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2001,4,277.6,343.0,79.6,357.1,14.2,4.1
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2002,5,263.0,385.0,128.3,391.3,6.3,1.6
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2003,6,269.6,419.4,160.2,429.8,10.4,2.5
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2004,7,276.3,441.0,180.1,456.4,15.3,3.5
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2005,8,280.1,474.9,202.5,482.6,7.7,1.6
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2006,9,290.1,496.7,230.1,520.1,23.5,4.7
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2007,10,300.1,493.7,220.8,520.9,27.2,5.5
Discretionary,Nondefense Discretionary,1998-03-01,March 1998 Baseline,True,2008,11,304.4,522.5,240.2,544.6,22.1,4.2
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,1999,1,299.9,296.6,1.1,301.0,4.4,1.5
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2000,2,286.2,319.7,46.1,332.3,12.7,4.0
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2001,3,281.3,343.0,71.9,353.2,10.2,3.0
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2002,4,267.4,385.0,120.7,388.1,3.1,0.8
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2003,5,274.5,419.4,152.5,427.0,7.6,1.8
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2004,6,281.7,441.0,172.1,453.9,12.9,2.9
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2005,7,286.2,474.9,194.4,480.6,5.6,1.2
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2006,8,296.7,496.7,221.7,518.4,21.8,4.4
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2007,9,307.4,493.7,212.2,519.6,25.9,5.2
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2008,10,312.1,522.5,231.4,543.5,21.1,4.0
Discretionary,Nondefense Discretionary,1999-04-01,April 1999 Baseline,True,2009,11,320.0,580.8,271.4,591.4,10.6,1.8
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2000,1,319.5,319.7,13.6,333.1,13.4,4.2
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2001,2,283.3,343.0,64.3,347.7,4.7,1.4
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2002,3,269.8,385.0,117.8,387.6,2.6,0.7
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2003,4,276.7,419.4,149.5,426.3,6.9,1.6
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2004,5,284.0,441.0,169.1,453.1,12.1,2.7
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2005,6,288.3,474.9,191.3,479.6,4.6,1.0
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2006,7,298.8,496.7,218.5,517.4,20.7,4.2
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2007,8,309.8,493.7,208.9,518.7,25.0,5.1
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2008,9,314.8,522.5,228.1,542.8,20.4,3.9
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2009,10,323.0,580.8,267.9,590.9,10.1,1.7
Discretionary,Nondefense Discretionary,2000-04-01,April 2000 Baseline,True,2010,11,331.5,658.3,379.7,711.1,52.8,8.0
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2001,1,341.2,343.0,0.4,341.5,-1.4,-0.4
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2002,2,364.2,385.0,11.9,376.1,-8.9,-2.3
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2003,3,384.1,419.4,35.7,419.8,0.4,0.1
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2004,4,395.3,441.0,51.3,446.6,5.6,1.3
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2005,5,404.5,474.9,67.1,471.6,-3.4,-0.7
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2006,6,413.0,496.7,93.3,506.3,9.7,1.9
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2007,7,422.4,493.7,83.3,505.7,12.0,2.4
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2008,8,432.0,522.5,96.3,528.3,5.9,1.1
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2009,9,442.4,580.8,132.5,574.8,-6.0,-1.0
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2010,10,453.0,658.3,240.2,693.2,34.9,5.3
Discretionary,Nondefense Discretionary,2001-05-01,May 2001 Baseline,True,2011,11,464.0,647.7,205.7,669.7,21.9,3.4
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2002,1,382.7,385.0,0.8,383.4,-1.6,-0.4
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2003,2,407.0,419.4,15.6,422.6,3.2,0.8
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2004,3,420.5,441.0,28.2,448.7,7.7,1.7
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2005,4,431.6,474.9,41.9,473.5,-1.4,-0.3
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2006,5,441.9,496.7,66.9,508.9,12.2,2.5
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2007,6,452.9,493.7,55.8,508.7,15.0,3.0
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2008,7,463.9,522.5,68.3,532.1,9.7,1.9
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2009,8,475.3,580.8,103.9,579.3,-1.5,-0.3
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2010,9,487.1,658.3,211.2,698.3,40.0,6.1
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2011,10,499.1,647.7,175.9,675.1,27.3,4.2
Discretionary,Nondefense Discretionary,2002-03-01,March 2002 Baseline,True,2012,11,511.6,605.2,136.2,647.7,42.5,7.0
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2003,1,418.3,419.4,6.3,424.6,5.2,1.2
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2004,2,435.5,441.0,16.6,452.1,11.1,2.5
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2005,3,442.4,474.9,32.3,474.8,-0.2,-0.0
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2006,4,450.0,496.7,59.1,509.2,12.5,2.5
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2007,5,460.9,493.7,49.0,509.9,16.2,3.3
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2008,6,471.3,522.5,62.4,533.8,11.3,2.2
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2009,7,483.5,580.8,98.2,581.7,0.9,0.2
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2010,8,496.5,658.3,205.0,701.5,43.2,6.6
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2011,9,510.0,647.7,169.6,679.6,31.8,4.9
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2012,10,523.9,605.2,129.7,653.6,48.4,8.0
Discretionary,Nondefense Discretionary,2003-03-01,March 2003 Baseline,True,2013,11,538.2,576.6,82.3,620.6,43.9,7.6
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2004,1,443.2,441.0,0.4,443.6,2.6,0.6
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2005,2,466.7,474.9,5.9,472.6,-2.4,-0.5
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2006,3,480.0,496.7,28.2,508.2,11.6,2.3
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2007,4,490.9,493.7,15.9,506.8,13.1,2.7
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2008,5,500.7,522.5,28.8,529.5,7.0,1.3
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2009,6,511.5,580.8,63.8,575.3,-5.5,-0.9
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2010,7,522.6,658.3,169.5,692.1,33.8,5.1
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2011,8,534.2,647.7,133.2,667.4,19.6,3.0
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2012,9,546.5,605.2,92.3,638.8,33.6,5.6
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2013,10,559.0,576.6,44.5,603.5,26.8,4.7
Discretionary,Nondefense Discretionary,2004-03-01,March 2004 Baseline,True,2014,11,572.0,582.4,35.1,607.1,24.6,4.2
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2005,1,465.6,474.9,2.9,468.5,-6.5,-1.4
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2006,2,476.6,496.7,31.8,508.4,11.7,2.4
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2007,3,485.5,493.7,26.5,511.9,18.2,3.7
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2008,4,493.2,522.5,41.2,534.5,12.0,2.3
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2009,5,501.9,580.8,76.5,578.4,-2.5,-0.4
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2010,6,511.0,658.3,182.4,693.4,35.1,5.3
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2011,7,521.8,647.7,145.7,667.6,19.8,3.1
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2012,8,533.3,605.2,105.1,638.4,33.2,5.5
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2013,9,545.4,576.6,56.8,602.2,25.6,4.4
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2014,10,557.7,582.4,47.3,605.0,22.6,3.9
Discretionary,Nondefense Discretionary,2005-03-01,March 2005 Baseline,True,2015,11,570.3,588.8,40.5,610.8,22.0,3.7
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2006,1,500.8,496.7,3.8,504.7,8.0,1.6
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2007,2,500.9,493.7,10.6,511.5,17.8,3.6
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2008,3,509.2,522.5,25.2,534.4,11.9,2.3
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2009,4,519.1,580.8,62.8,581.8,1.0,0.2
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2010,5,528.8,658.3,169.6,698.4,40.1,6.1
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2011,6,538.7,647.7,133.0,671.7,24.0,3.7
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2012,7,549.8,605.2,92.7,642.5,37.3,6.2
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2013,8,561.8,576.6,44.5,606.4,29.8,5.2
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2014,9,574.2,582.4,35.3,609.5,27.1,4.7
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2015,10,587.5,588.8,28.4,615.8,27.1,4.6
Discretionary,Nondefense Discretionary,2006-03-01,March 2006 Baseline,True,2016,11,600.5,600.4,32.6,633.1,32.7,5.4
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2007,1,498.3,493.7,2.2,500.6,6.8,1.4
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2008,2,508.6,522.5,24.6,533.2,10.7,2.1
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2009,3,518.1,580.8,69.7,587.8,7.0,1.2
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2010,4,523.3,658.3,181.9,705.2,46.9,7.1
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2011,5,528.6,647.7,150.5,679.2,31.4,4.9
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2012,6,536.2,605.2,111.8,648.1,42.9,7.1
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2013,7,546.6,576.6,64.1,610.7,34.1,5.9
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2014,8,558.5,582.4,55.3,613.8,31.4,5.4
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2015,9,571.3,588.8,48.9,620.2,31.4,5.3
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2016,10,584.2,600.4,53.5,637.7,37.3,6.2
Discretionary,Nondefense Discretionary,2007-03-01,March 2007 Baseline,True,2017,11,597.4,610.1,53.9,651.4,41.3,6.8
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2008,1,519.6,522.5,9.6,529.2,6.7,1.3
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2009,2,531.1,580.8,49.4,580.5,-0.3,-0.1
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2010,3,541.8,658.3,158.7,700.5,42.2,6.4
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2011,4,550.2,647.7,126.8,677.0,29.2,4.5
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2012,5,559.8,605.2,87.9,647.7,42.5,7.0
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2013,6,571.6,576.6,39.7,611.3,34.6,6.0
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2014,7,583.3,582.4,30.8,614.1,31.7,5.4
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2015,8,596.3,588.8,23.9,620.2,31.5,5.3
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2016,9,610.3,600.4,28.2,638.6,38.2,6.4
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2017,10,624.5,610.1,28.2,652.7,42.7,7.0
Discretionary,Nondefense Discretionary,2008-03-01,March 2008 Baseline,True,2018,11,638.2,638.9,63.3,701.5,62.7,9.8
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2009,1,578.9,580.8,5.1,584.0,3.2,0.6
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2010,2,662.1,658.3,32.2,694.3,36.0,5.5
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2011,3,651.8,647.7,28.3,680.0,32.3,5.0
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2012,4,616.8,605.2,24.0,640.8,35.6,5.9
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2013,5,609.3,576.6,-11.9,597.5,20.8,3.6
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2014,6,607.4,582.4,-13.3,594.1,11.6,2.0
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2015,7,609.4,588.8,-15.9,593.6,4.8,0.8
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2016,8,616.6,600.4,-8.1,608.5,8.1,1.3
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2017,9,627.2,610.1,-7.3,619.9,9.8,1.6
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2018,10,638.0,638.9,27.2,665.2,26.3,4.1
Discretionary,Nondefense Discretionary,2009-03-01,March 2009 Baseline,True,2019,11,650.3,661.2,40.2,690.5,29.3,4.4
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2010,1,677.4,658.3,0.3,677.7,19.4,2.9
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2011,2,671.8,647.7,-5.8,665.9,18.2,2.8
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2012,3,649.1,605.2,-9.9,639.2,34.0,5.6
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2013,4,639.5,576.6,-43.3,596.2,19.6,3.4
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2014,5,639.2,582.4,-44.5,594.7,12.3,2.1
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2015,6,642.6,588.8,-46.2,596.4,7.6,1.3
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2016,7,651.9,600.4,-37.9,614.1,13.7,2.3
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2017,8,663.9,610.1,-37.6,626.2,16.1,2.6
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2018,9,676.0,638.9,-4.3,671.7,32.9,5.1
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2019,10,689.4,661.2,7.8,697.1,35.9,5.4
Discretionary,Nondefense Discretionary,2010-03-01,Final March 2010 baseline,True,2020,11,704.2,913.9,246.8,950.9,37.0,4.0
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2011,1,658.5,647.7,-4.4,654.1,6.4,1.0
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2012,2,640.2,605.2,-10.4,629.8,24.7,4.1
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2013,3,633.6,576.6,-35.7,597.9,21.3,3.7
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2014,4,634.8,582.4,-35.6,599.2,16.7,2.9
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2015,5,640.2,588.8,-36.3,603.9,15.2,2.6
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2016,6,648.1,600.4,-27.2,620.9,20.5,3.4
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2017,7,661.1,610.1,-26.2,634.9,24.8,4.1
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2018,8,675.4,638.9,7.6,683.0,44.1,6.9
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2019,9,692.0,661.2,20.1,712.1,50.9,7.7
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2020,10,709.7,913.9,259.5,969.1,55.2,6.0
Discretionary,Nondefense Discretionary,2011-03-01,March 2011 Baseline,True,2021,11,727.2,894.8,239.3,966.5,71.7,8.0
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2012,1,630.0,605.2,0.0,630.0,24.9,4.1
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2013,2,583.1,576.6,8.5,591.6,15.0,2.6
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2014,3,569.0,582.4,27.2,596.2,13.8,2.4
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2015,4,571.0,588.8,32.5,603.5,14.7,2.5
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2016,5,577.9,600.4,45.9,623.8,23.4,3.9
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2017,6,584.3,610.1,52.5,636.7,26.7,4.4
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2018,7,592.3,638.9,90.8,683.1,44.2,6.9
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2019,8,604.6,661.2,107.3,711.9,50.7,7.7
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2020,9,618.3,913.9,349.8,968.1,54.2,5.9
Discretionary,Nondefense Discretionary,2012-03-01,March 2012 Baseline,True,2021,10,632.3,894.8,333.3,965.5,70.8,7.9
